"cpi_category_chr","cpi_series_id_chr","first_year_int","first_year_value_num","year2000_value_num","year2024_value_num","growth_since_first_year_pct","growth_2000_2024_pct"
"all_items","CUUR0000SA0",1984,103.9,172.2,313.689,201.914340712223,82.1655052264808
"apparel","CUUR0000SAA",1984,102.1,129.6,131.483,28.7786483839373,1.45293209876545
"education","CUUR0000SAE1",1993,78.4,112.5,299.677,282.241071428571,166.379555555556
"educomm","CUUR0000SAE",1993,85.5,102.5,146.063,70.833918128655,42.500487804878
"energy","CUUR0000SA0E",1984,100.9,124.6,279.544,177.050545094153,124.353130016051
"food","CUUR0000SAF1",1984,103.2,167.8,330.263,220.022286821705,96.8194278903456
"housing","CUUR0000SAH",1984,103.6,169.6,334.157,222.545366795367,97.0265330188679
"medical","CUUR0000SAM",1984,106.8,260.8,563.841,427.941011235955,116.196702453988
"shelter","CUUR0000SAH1",1984,104,193.4,400.561,285.154807692308,107.115305067218
"transport","CUUR0000SAT",1984,103.7,153.3,270.685,161.02700096432,76.5720808871494
"transport_private","CUUR0000SAT1",1984,103.6,149.1,270.308,160.915057915058,81.2930918846412
