generation,age_in_income_year,n_unweighted,n_weighted,median_real,mean_real,p25_real,p75_real,birth_year_min,birth_year_max,birth_years_observed,income_year_min,income_year_max,generation_birth_years,coverage_share,fully_covered,meets_min_records
Boomer (1946-1964),16,29201,40798330.79780036,2993.0196910741656,4709.376416566442,1231.92429022082,6142.9758399548255,1946,1964,19,1962,1980,19,1,TRUE,TRUE
Boomer (1946-1964),17,35000,51454472.347300485,5418.713037551121,8141.0616304589375,2368.3336443366297,11087.31861198738,1946,1964,19,1963,1981,19,1,TRUE,TRUE
Boomer (1946-1964),18,37239,54090184.04489911,9071.51504321994,12862.605574315177,4031.5921363780753,18731.411428781805,1946,1964,19,1964,1982,19,1,TRUE,TRUE
Boomer (1946-1964),19,37943,56257954.09699946,12935.513042783941,16579.350303125186,5386.16527171991,24815.21010248146,1946,1964,19,1965,1983,19,1,TRUE,TRUE
Boomer (1946-1964),20,38406,57094831.488498785,16314.894164024337,19606.589289442316,6721.33665201504,28894.84468278863,1946,1964,19,1966,1984,19,1,TRUE,TRUE
Boomer (1946-1964),21,38964,58002525.05999917,20360.83384037023,22779.153497554405,8816.95938724617,32844.64316521939,1946,1964,19,1967,1985,19,1,TRUE,TRUE
Boomer (1946-1964),22,39599,59255616.859998584,25250.866135320906,27015.44855159739,12189.848339326796,38374.236325455044,1946,1964,19,1968,1986,19,1,TRUE,TRUE
Boomer (1946-1964),23,39387,59018515.359998815,28633.723390965377,30444.510195889932,14422.067345933867,42634.896187332386,1946,1964,19,1969,1987,19,1,TRUE,TRUE
Boomer (1946-1964),24,39756,59610418.05999877,32914.67842323652,35066.49807533679,18003.568538048774,48073.557819779555,1946,1964,19,1970,1988,19,1,TRUE,TRUE
Boomer (1946-1964),25,39702,59367324.51999888,34699.444090039186,37130.79829619042,19372.750035852965,50984.80866100217,1946,1964,19,1971,1989,19,1,TRUE,TRUE
Boomer (1946-1964),26,39643,59331281.38000027,36115.01579261873,39266.4167272942,20171.150146382268,54257.69317583197,1946,1964,19,1972,1990,19,1,TRUE,TRUE
Boomer (1946-1964),27,39383,58936702.36999964,37703.484398382876,40740.26224943899,20687.219249875012,56694.01102096316,1946,1964,19,1973,1991,19,1,TRUE,TRUE
