year_int,n_hourly_int,at_below_federal_share,at_below_prevailing_share
1982,103930,0.13565400666901123,0.13630929401259062
1983,103530,0.12983856766390867,0.13056966199935466
1984,105950,0.11715134278841628,0.1177900146437999
1985,107856,0.10620288133004228,0.10676477054035623
1986,107575,0.09478109066470268,0.09601699687329049
1987,109426,0.08457077077400495,0.08594427041437681
1988,105442,0.06931716374213619,0.0788732336250716
1989,107366,0.05295900850703229,0.07010811115277732
1990,120688,0.05259263428816563,0.06643404279481205
1991,117449,0.08383824442621833,0.08861363523938963
1992,116219,0.07976894043896278,0.08358757605724797
1993,114648,0.06949668864384467,0.07384667374027501
1994,113059,0.06315696745004327,0.06747603891423497
1995,113921,0.05460423242002804,0.05891260316333372
1996,102043,0.05385966496952359,0.05777052970544617
1997,103765,0.0678958991444654,0.07823954609386538
1998,103858,0.06201761379315079,0.0740796491978976
1999,104851,0.045479089953508876,0.05993804594584465
2000,105241,0.03677645547753991,0.05206087077309384
2001,120687,0.030415932520215107,0.04763906348371961
2002,123551,0.02972225195618043,0.04765387908412797
2003,121726,0.02864041113691499,0.04456569213588525
2004,119995,0.026612198283394957,0.04258188703243593
2005,117256,0.024651751939217908,0.04684016991880319
2006,115993,0.021794274529780725,0.046027407456686924
2007,113102,0.022560264407613485,0.06548773480866124
2008,111319,0.030488051800372545,0.07230609921034836
2009,107930,0.052123764667438156,0.08422702154073056
2010,107331,0.05984543571707159,0.08393915371085793
2011,106777,0.05208941267293995,0.07732206119366153
2012,106309,0.047365203604704635,0.07516363115226665
2013,105277,0.043737535693313824,0.07083054616523969
2014,106180,0.038261665592682875,0.07734140697953726
2015,104926,0.032380662422973557,0.08079739368066854
2016,104554,0.026288524683160414,0.08392195224543512
2017,103277,0.02229791588660356,0.08264906627100645
2018,100769,0.02027119052286005,0.07811869099060222
2019,97182,0.019064111920062517,0.08011731514472696
2020,80604,0.015235537440534873,0.07785420987152336
2021,81141,0.013928681761649174,0.07610142910758515
2022,78139,0.012597638921304171,0.07532294937811934
2023,75736,0.010216001954980737,0.0669494354376446
2024,72636,0.009626160463225958,0.07217244879201962
2025,61075,0.009869366440541403,0.07050314459578506
