RPP Percentile	Change in the Dem. Vote Share	count_counties	Population	base_line	boundaries	min	Decile Range
1	-0.019090223	28	677039	0	84	74.8	74.8 to 84
2	-0.018067841	28	512512	0	84.1	84	84 to 84.1
3	-0.014907097	28	574894	0	84.2	84.1	84.1 to 84.2
4	-0.019691349	28	565174	0	84.3	84.2	84.2 to 84.3
5	-0.018915001	28	609389	0	84.5	84.3	84.3 to 84.5
6	-0.018790014	27	571195	0	84.6	84.5	84.5 to 84.6
7	-0.01781088	27	431419	0	84.6	84.6	84.6 to 84.6
8	-0.017442761	27	439563	0	84.8	84.6	84.6 to 84.8
9	-0.01618931	27	455010	0	84.9	84.8	84.8 to 84.9
10	-0.015939967	27	467589	0	85	84.9	84.9 to 85
11	-0.016165936	27	484953	0	85.1	85	85 to 85.1
12	-0.016029328	27	601882	0	85.2	85.1	85.1 to 85.2
13	-0.012029683	27	547162	0	85.3	85.2	85.2 to 85.3
14	-0.019169686	27	557878	0	85.3	85.3	85.3 to 85.3
15	-0.016706481	27	574786	0	85.5	85.3	85.3 to 85.5
16	-0.019746503	27	540813	0	85.5	85.5	85.5 to 85.5
17	-0.013579403	27	542118	0	85.6	85.5	85.5 to 85.6
18	-0.022114457	27	552329	0	85.7	85.6	85.6 to 85.7
19	-0.010738472	27	686896	0	85.8	85.7	85.7 to 85.8
20	-0.011900839	27	452478	0	85.8	85.8	85.8 to 85.8
21	-0.012999617	27	621114	0	85.9	85.8	85.8 to 85.9
22	-0.016625626	27	565412	0	86	85.9	85.9 to 86
23	-0.021466323	27	513787	0	86.1	86	86 to 86.1
24	-0.014606599	27	600814	0	86.2	86.1	86.1 to 86.2
25	-0.011621307	27	473510	0	86.3	86.2	86.2 to 86.3
26	-0.020713898	27	544088	0	86.4	86.3	86.3 to 86.4
27	-0.020449853	27	537939	0	86.5	86.4	86.4 to 86.5
28	-0.01163767	27	565607	0	86.5	86.5	86.5 to 86.5
29	-0.008745661	27	336284	0	86.6	86.5	86.5 to 86.6
30	-0.018738069	27	964671	0	86.7	86.6	86.6 to 86.7
31	-0.015539479	27	553262	0	86.8	86.7	86.7 to 86.8
32	-0.013495358	27	731540	0	86.9	86.8	86.8 to 86.9
33	-0.014624966	27	725044	0	87	86.9	86.9 to 87
34	-0.012073136	27	869794	0	87.1	87	87 to 87.1
35	-0.010162232	27	525969	0	87.2	87.1	87.1 to 87.2
36	-0.01650878	27	489627	0	87.3	87.2	87.2 to 87.3
37	-0.012723655	27	712999	0	87.4	87.3	87.3 to 87.4
38	-0.018157413	27	549992	0	87.4	87.4	87.4 to 87.4
39	-0.013091764	27	861898	0	87.5	87.4	87.4 to 87.5
40	-0.013083833	27	732744	0	87.6	87.5	87.5 to 87.6
41	-0.011708682	27	665333	0	87.7	87.6	87.6 to 87.7
42	-0.014701981	27	617791	0	87.8	87.7	87.7 to 87.8
43	-0.00831883	27	1608813	0	87.9	87.8	87.8 to 87.9
44	-0.016763074	27	774539	0	88	87.9	87.9 to 88
45	-0.017322561	27	803235	0	88	88	88 to 88
46	-0.007582328	27	785452	0	88.1	88	88 to 88.1
47	-0.013613517	27	741378	0	88.3	88.1	88.1 to 88.3
48	-0.013214574	27	1222198	0	88.3	88.3	88.3 to 88.3
49	-0.018239714	27	1833960	0	88.4	88.3	88.3 to 88.4
50	-0.015713623	27	1105483	0	88.5	88.4	88.4 to 88.5
51	-0.014649993	27	934570	0	88.6	88.5	88.5 to 88.6
52	-0.013640793	27	856833	0	88.7	88.6	88.6 to 88.7
53	-0.009818022	27	1076744	0	88.9	88.7	88.7 to 88.9
54	-0.013248553	27	771080	0	89	88.9	88.9 to 89
55	-0.013169465	27	722229	0	89.1	89	89 to 89.1
56	-0.011094145	27	1173427	0	89.2	89.1	89.1 to 89.2
